steamid,player_name,team_clan_name,map_count,tapd_ct,tapd_t,tapd_overall,oap_ct,oap_t,oap_overall,podt_ct,podt_t,podt_overall,pokt_ct,pokt_t,pokt_overall,adnt_rank_ct,adnt_rank_t,adnt_rank_overall,adat_rank_ct,adat_rank_t,adat_rank_overall,role_overall,role_t,role_ct
76561198883522068,olimp,Rebels Gaming,8,56.352288176072896,49.05418854740588,52.028730849533545,24.691358024691354,32.95454545454545,28.994082840236686,15.255731922398587,18.453282828282827,17.588467339598562,18.234193789749344,13.860479797979798,16.726941697355898,0.8962962962962963,0.9181818181818181,0.9242603550295857,0.8444444444444446,0.890909090909091,0.8994082840236687,,,
76561198070876270,Nodios,ECSTATIC,8,66.46319817877435,60.01747975444096,62.95166599235388,17.045454545454543,17.24137931034483,17.142857142857142,27.68262987012987,26.35318704284222,24.208993070912573,17.24400599400599,25.28735632183908,20.576167691957167,0.5750000000000001,0.8551724137931035,0.7942857142857143,0.48863636363636365,0.7011494252873564,0.6765714285714286,,,
76561198102263776,salazar,ECSTATIC,8,68.7506341314935,64.27985811781609,66.10627969227464,13.924050632911392,9.333333333333334,11.688311688311689,21.233766233766232,11.704980842911876,16.82723998690385,15.59315684315684,26.149425287356323,19.443762959729344,0.7000000000000001,0.4367816091954023,0.5942857142857143,0.5363636363636364,0.43908045977011495,0.42514285714285716,,,
76561198201462870,casey,Rebels Gaming,8,57.64841338734568,50.28436104910714,53.3275963449047,12.5,15.789473684210526,14.18918918918919,18.772914328469884,23.370105273514366,22.12536848180408,19.45379723157501,30.64393939393939,22.272865201859283,0.4395061728395062,0.5545454545454546,0.4437869822485207,0.6074074074074074,0.4318181818181818,0.5443786982248521,,,
76561198412400644,Flayy-,Rebels Gaming,8,59.888191688712524,59.46505399981963,58.35008680555555,28.395061728395056,14.772727272727273,21.301775147928993,16.857463524130193,11.769972451790634,13.522450400278453,32.608024691358025,37.10055096418733,27.712853385930305,0.582716049382716,0.26590909090909093,0.39881656804733734,0.5407407407407407,0.4840909090909091,0.6000000000000001,,,
76561198030545997,Queenix,ECSTATIC,8,65.11499319365531,65.20569923371647,64.56022937519532,18.181818181818183,16.091954022988507,17.142857142857142,27.017045454545453,15.54858934169279,20.865582596675033,14.92882117882118,28.160919540229884,21.026307026307023,0.6749999999999999,0.9264367816091955,0.8171428571428572,0.8272727272727273,0.7057471264367816,0.7942857142857143,,,
76561198047198945,kraghen,ECSTATIC,8,55.707471760010826,58.292420055997646,55.70585961311262,36.36363636363637,33.333333333333336,34.857142857142854,7.31060606060606,26.100795755968168,15.581870613858191,20.126748251748253,27.57625516246206,20.29718643310167,0.615909090909091,0.5080459770114942,0.5222857142857144,0.7090909090909091,0.6804597701149425,0.7394285714285714,,,
76561198273089705,sliimey,Rooster,7,61.54552671370968,59.00567811317148,59.83884984023593,11.864406779661017,14.492753623188404,13.28125,24.677419354838708,21.450232169186418,21.141056237210083,17.357320099255585,26.895943562610228,24.42234798694129,0.4709677419354839,0.35555555555555557,0.32167832167832167,0.529032258064516,0.38518518518518524,0.5188811188811189,,,
76561198316706174,Tauson,GamerLegion,7,53.46725045787546,50.68661207329317,51.51430129383484,24.615384615384617,21.686746987951807,22.972972972972972,30.73260073260073,27.83132530120482,28.549615792262852,17.133089133089133,27.094090648307517,20.94460531960532,0.5415384615384616,0.6626506024096386,0.5635135135135135,0.676923076923077,0.8337349397590362,0.7108108108108109,Flex,Half-Lurker,Mixed
76561198121512116,kabal,ATOX,7,52.14404407596372,58.70516065140845,56.09233940972222,26.984126984126984,21.12676056338028,23.880597014925375,13.492063492063492,13.433632095603926,13.644278606965173,27.46031746031746,26.643192488262912,26.809701492537314,0.8222222222222223,0.8929577464788733,0.9477611940298507,0.6571428571428571,0.9464788732394367,0.9164179104477612,,Lurker,Mixed
76561198120157641,dobu,ATOX,7,52.949580735071805,65.2651890509725,59.209347246299835,12.698412698412698,22.535211267605632,17.91044776119403,16.00151171579743,29.8859825620389,22.94559104081538,18.253968253968253,22.769953051643192,19.969497749348495,0.36507936507936506,0.33521126760563386,0.2746268656716418,0.4222222222222222,0.6140845070422536,0.39552238805970147,,Half-Lurker,Rotator
76561199149812353,esenthial,B8,7,55.99348251959012,44.19867957746479,49.520930849214075,17.72151898734177,18.309859154929576,18.0,9.873417721518987,26.705688677519657,18.848366013071896,16.82557948380733,46.68902302705119,29.414588461647284,0.6455696202531646,0.571830985915493,0.6133333333333333,0.7265822784810126,0.6225352112676057,0.74,,Lurker,Mixed
76561198305036904,npl,B8,7,54.276490920735384,38.293419894366195,46.852638905793576,16.455696202531644,21.12676056338028,18.666666666666668,23.322373828702943,30.18200109749405,26.90270056740645,12.91139240506329,19.776995305164316,17.352980352980353,0.5341772151898735,0.6281690140845071,0.556,0.3215189873417722,0.6366197183098592,0.3453333333333334,IGL,Spacetaker,Rotator
76561198304115519,alex666,B8,7,55.110256555153704,43.43529929577465,50.12981276371308,30.379746835443036,23.943661971830984,27.333333333333332,12.628089210367689,15.914425949637215,15.294005847953215,19.40279130152548,32.97905077523967,26.80019819150254,0.49113924050632907,0.7154929577464788,0.6946666666666667,0.6531645569620254,0.6647887323943662,0.6293333333333334,,Spacetaker,Mixed
76561199543652487,afufu,Lynn Vision Gaming,7,51.850554968287526,54.65579742402659,52.69543098919008,19.767441860465116,8.333333333333334,14.556962025316455,23.907681465821,33.68945868945869,28.111631687581053,24.58471760797342,29.84126984126984,27.474347909474492,0.6395348837209303,0.7000000000000001,0.7063291139240506,0.7511627906976743,0.5444444444444445,0.6696202531645571,,,
76561198359519930,headtr1ck,B8,7,59.592622626582276,47.848761317907446,54.13059809800563,10.126582278481013,4.225352112676056,7.333333333333333,17.474930133157983,28.505578928114137,23.1974358974359,8.247027234369007,24.92957746478873,14.45145789882632,0.6481012658227848,0.5323943661971832,0.5613333333333334,0.46835443037974683,0.38873239436619716,0.47333333333333333,AWPer,AWPer,AWPer
76561198276087202,ANNIHILATION,ATOX,7,66.43286924939468,67.48858751467137,67.07905328798186,18.64406779661017,13.559322033898304,16.10169491525424,27.528344671201815,15.305164319248824,20.68407960199005,19.372637944066515,31.182651464341607,27.158170188020936,0.6507936507936508,0.6056338028169014,0.6880597014925374,0.5904761904761905,0.4,0.5238805970149254,,,
76561198163780030,TjP,Rooster,7,46.07373871927803,51.024745824255625,49.87537406394009,22.580645161290324,28.395061728395063,25.874125874125873,14.6505376344086,16.81190994916485,15.928052716514255,28.81231671554252,41.72839506172839,34.07592407592407,0.5580645161290323,0.6,0.593006993006993,0.6516129032258065,0.7333333333333334,0.6097902097902098,,,
